kind,owner,name,target,keys,delete,source
createIndex,candidate,idx-candidate-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m130524_201442_init.php:74
addForeignKey,candidate,fk-candidate-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m130524_201442_init.php:80
createIndex,admin_token,idx-admin_token-admin_id,,'admin_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:24
addForeignKey,admin_token,fk-admin_token-admin_id,admin,'admin_id' -> 'admin_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:30
createIndex,candidate_token,idx-candidate_token-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:54
addForeignKey,candidate_token,fk-candidate_token-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:60
createIndex,company_token,idx-company_token-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:84
addForeignKey,company_token,fk-company_token-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:90
createIndex,staff_token,idx-staff_token-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:114
addForeignKey,staff_token,fk-staff_token-staff_id,staff,'staff_id' -> 'staff_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:120
createIndex,company,idx-company-parent_company_id,,'parent_company_id',constraint history; unique=unspecified,console/migrations/m170223_113047_parent_company.php:11
addForeignKey,company,fk-company-parent_company_id,company,'parent_company_id' -> 'company_id',CASCADE,console/migrations/m170223_113047_parent_company.php:17
createIndex,store,idx-store-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170223_125009_store.php:24
addForeignKey,store,fk-store-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170223_125009_store.php:30
createIndex,candidate,idx-candidate-store_id,,'store_id',constraint history; unique=unspecified,console/migrations/m170223_132254_candidate_to_store.php:11
addForeignKey,candidate,fk-candidate-store_id,store,'store_id' -> 'store_id',CASCADE,console/migrations/m170223_132254_candidate_to_store.php:17
dropForeignKey,candidate,fk-candidate-company_id,,,unspecified,console/migrations/m170227_113509_candidate_company.php:9
dropIndex,candidate,idx-candidate-company_id,,,constraint history; unique=unspecified,console/migrations/m170227_113509_candidate_company.php:14
createIndex,transfer,idx-transfer-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:17
addForeignKey,transfer,fk-transfer-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:23
createIndex,transfer_candidates,idx-tc-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:42
addForeignKey,transfer_candidates,fk-tc-transfer_id,transfer,'transfer_id' -> 'transfer_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:48
createIndex,transfer_candidates,idx-tc-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:57
addForeignKey,transfer_candidates,fk-tc-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:63
createIndex,invoice,idx-invoice-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:18
addForeignKey,invoice,fk-invoice-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:24
createIndex,invoice_candidates,idx-ic-invoice_id,,'invoice_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:44
addForeignKey,invoice_candidates,fk-ic-invoice_id,invoice,'invoice_id' -> 'invoice_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:50
createIndex,invoice_candidates,idx-ic-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:59
addForeignKey,invoice_candidates,fk-ic-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:65
createIndex,candidate,idx-candidate-bank_id,,'bank_id',constraint history; unique=unspecified,console/migrations/m170306_112515_candiate_bank.php:11
addForeignKey,candidate,fk-candidate-bank_id,bank,'bank_id' -> 'bank_id',CASCADE,console/migrations/m170306_112515_candiate_bank.php:17
createIndex,candidate,idx-candidate-university_id,,'university_id',constraint history; unique=unspecified,console/migrations/m170420_125428_candidate_university.php:12
addForeignKey,candidate,fk-candidate-university_id,university,'university_id' -> 'university_id',,console/migrations/m170420_125428_candidate_university.php:19
createIndex,candidate,idx-candidate-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m170425_134445_candidate_country.php:11
addForeignKey,candidate,fk-candidate-country_id,country,'country_id' -> 'country_id',,console/migrations/m170425_134445_candidate_country.php:17
createIndex,transfer,idx-transfer-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170428_113508_invoice.php:17
addForeignKey,transfer,fk-transfer-parent_transfer_id,transfer,'parent_transfer_id' -> 'transfer_id',,console/migrations/m170428_113508_invoice.php:23
createIndex,invoice,idx-invoice-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170428_113508_invoice.php:52
addForeignKey,invoice,fk-invoice-transfer_id,transfer,'transfer_id' -> 'transfer_id',,console/migrations/m170428_113508_invoice.php:58
