entity,field,receipt,operation
candidate,company_id,console/migrations/m170227_113509_candidate_company.php:19,dropColumn
invoice_candidates,ic_id,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,invoice_id,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,candidate_id,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,hourly_rate,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,hours,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,bonus,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,ic_created_at,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,ic_updated_at,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice_candidates,transfer_cost,console/migrations/m170428_113508_invoice.php:9,dropTable
invoice,invoice_id,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,company_id,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,total,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,invoice_status,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,invoice_created_at,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,invoice_updated_at,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,company_total,console/migrations/m170428_113508_invoice.php:10,dropTable
invoice,payment_received_on,console/migrations/m170428_113508_invoice.php:10,dropTable
transfer_candidate,deleted,console/migrations/m170627_162220_transfer_candidate.php:9,dropColumn
candidate_note,staff_id,console/migrations/m201106_060223_update_note_table.php:56,dropColumn
note,staff_id,console/migrations/m201106_060223_update_note_table.php:100,dropColumn
company,company_status,console/migrations/m201123_100605_remove_company_status_field.php:15,dropColumn
company_contact,contact_note,console/migrations/m201207_081814_contact_note.php:15,dropColumn
request,staff_id,console/migrations/m201224_094026_request_staff.php:19,dropColumn
contact,contact_created_datetime,console/migrations/m210108_092910_rename_company_contact_to_contact.php:36,rename to contact_created_at
contact,contact_updated_datetime,console/migrations/m210108_092910_rename_company_contact_to_contact.php:40,rename to contact_updated_at
company,company_auth_key,console/migrations/m210108_131700_contact_table_rename.php:24,dropColumn
company,company_password_hash,console/migrations/m210108_131700_contact_table_rename.php:25,dropColumn
company,company_password_reset_token,console/migrations/m210108_131700_contact_table_rename.php:26,dropColumn
contact,company_id,console/migrations/m210108_131700_contact_table_rename.php:64,dropColumn
company_contact,role,console/migrations/m210128_071555_role.php:20,dropColumn
contact,contact_position,console/migrations/m210128_071555_role.php:33,dropColumn
candidate_evaluation,ceq_uuid,console/migrations/m230117_113129_candidate_evaluation_answers.php:51,dropColumn
candidate_evaluation,question,console/migrations/m230117_113129_candidate_evaluation_answers.php:52,dropColumn
candidate_evaluation,comment,console/migrations/m230117_113129_candidate_evaluation_answers.php:53,dropColumn
candidate_evaluation,rating,console/migrations/m230117_113129_candidate_evaluation_answers.php:54,dropColumn
candidate_evaluation,date,console/migrations/m230118_130827_update_report_table.php:15,rename to start_date
