receipt,limitation
console/migrations/m170209_145040_admin_initial_record.php:13,data mutation/command: insert; not executed or interpreted
console/migrations/m170327_131525_invoice_company_total.php:13,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170327_131525_invoice_company_total.php:23,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170327_131525_invoice_company_total.php:32,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:9,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:11,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:13,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:19,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:23,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:25,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_114919_db_char_set.php:27,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170425_132300_country.php:24,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170605_050805_transfer_update.php:9,raw SQL or data transform; not interpreted
console/migrations/m170704_120143_invoice.php:9,data mutation/command: createCommand; not executed or interpreted
console/migrations/m170807_074925_trim_db_fields.php:9,raw SQL or data transform; not interpreted
console/migrations/m170807_074925_trim_db_fields.php:10,raw SQL or data transform; not interpreted
console/migrations/m171121_091835_company_default_hourly.php:11,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200623_130939_store_candidates.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200623_130939_store_candidates.php:20,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200623_130939_store_candidates.php:22,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200715_082751_bank_iban.php:33,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200721_082533_candidate_bank.php:42,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200721_082533_candidate_bank.php:46,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200721_082533_candidate_bank.php:55,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200729_094528_candidate_fields.php:20,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200813_122731_transfer_total.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200813_122731_transfer_total.php:25,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200904_075357_inspector_type_user.php:12,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200904_075357_inspector_type_user.php:65,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200909_110549_alter_store_table_for_brand.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200909_110549_alter_store_table_for_brand.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200910_120515_remove_duplicate_history_data.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200911_052307_mall_table.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200911_052307_mall_table.php:31,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200911_052307_mall_table.php:49,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200921_143315_file_size.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200925_134404_area_country.php:15,raw SQL or data transform; not interpreted
console/migrations/m200925_134404_area_country.php:36,raw SQL or data transform; not interpreted
console/migrations/m200925_161900_default_country.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200925_161900_default_country.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200925_161900_default_country.php:29,data mutation/command: createCommand; not executed or interpreted
console/migrations/m200925_161900_default_country.php:15,raw SQL or data transform; not interpreted
console/migrations/m200925_161900_default_country.php:31,raw SQL or data transform; not interpreted
console/migrations/m201005_122914_country.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:26,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:31,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201005_122914_country.php:36,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201009_153032_candidate_video.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201019_103154_candiate_video_webhook.php:79,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:29,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:31,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:33,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:37,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:39,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:41,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:45,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:50,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:53,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201020_141924_duplicate_country.php:56,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201023_094550_request_activities.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201023_094550_request_activities.php:62,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201103_094142_soft_delete_pending_child_transfer.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201106_060223_update_note_table.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201106_060223_update_note_table.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201106_060223_update_note_table.php:62,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201106_060223_update_note_table.php:101,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:25,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:25,data mutation/command: update; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:29,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:32,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:32,data mutation/command: update; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:36,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:39,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201123_100605_remove_company_status_field.php:39,data mutation/command: update; not executed or interpreted
console/migrations/m201125_141940_note.php:80,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201125_141940_note.php:93,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201127_092741_fulltime.php:15,raw SQL or data transform; not interpreted
console/migrations/m201127_092741_fulltime.php:111,raw SQL or data transform; not interpreted
console/migrations/m201204_082140_suggestion.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201208_080317_work_history_table.php:50,data mutation/command: createCommand; not executed or interpreted
